PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
0.10667063539409945,-0.43886688661719425,0.3333232888822765,0.1342012361085789,2.3615092797474615,0.16303043893996633,-1.1755252509917533,0.3823159230810651,0.5140628385131049,0.35909537214320186,-0.5588129253630252,-0.5444882773568621,-0.5472738311885557,0.5336528983943737,0.3140475383634555,0.4571917335086893,0.008217818998940004,0.2205750399224371,0.2547488176722616
-0.9652611397145062,-0.20887224536962207,-0.02084766389377331,-0.4900053453320797,-0.5008390248107228,0.4340727931818423,-0.2711255087584421,-0.1462136729267471,-0.31531890071452984,-0.5089873812376458,0.5545567462583618,-0.041879811011079945,-0.16760717898723074,-1.3402505486381806,-1.2484387683409137,0.32186479426519,0.10592694443358827,-0.056386342088717345,-0.14219830549652648
-0.24473682444016834,-0.5138956477167729,0.6736224404467402,0.08718154728645401,0.5872311956679618,-0.7310219903935439,0.04087619434215881,0.6871529923861733,-0.6996652848155459,0.5947613457260198,0.2836088169656584,1.2444526242904934,0.011028386763300263,-0.29820007232677076,-0.42918662328998586,0.6828859887954006,-0.018889252712676535,0.018568899227757663,0.2839873669831681
-0.04712470085709118,0.26966450899711486,-0.10996314305682574,-0.7764563733994421,-0.6298063331022972,0.04650814563222582,0.38373663697716953,-0.2781631660138776,1.0989659287349813,-0.5982854386040111,-0.49978346018229935,0.5198463183629954,0.1859924207022634,-0.8699329687023151,-0.4649574389285025,-0.14020524837262158,0.07563918048907015,-0.03777020085694128,-0.5851798833031964
-0.12236979930390827,0.32247676723946034,0.057917382897526994,-1.2995389753371474,-0.27709516917326704,-0.9410253305263301,0.8350830170243692,-0.1414405372173646,1.05351367267106,0.022959420424172636,-1.0332092594573359,0.8243114517088447,0.6161541744841693,-0.4248507143160105,0.21985965185711975,-0.13712178920880716,-0.027813764398508908,0.23036493815645334,-0.41141372907363616
-1.181716036496023,1.2767456178219279,-2.865207802500301,2.112857515560313,-1.42894947138563,0.9265695078817875,0.17880985352143342,-0.02488015219910769,-0.1630848503399176,-0.3381255477757603,0.5078947391594175,0.2797887583551698,-0.45168659743531214,0.26701031011428505,0.04354004992642418,-0.0367119049839374,0.19954521983779142,-0.07979079539327077,0.1075404846830739
-0.47299903222936274,0.37221528890814226,0.6288019067198003,-1.683060107907734,-0.5312103239505629,-1.2570156055454687,0.6772761046679866,0.11702278414878305,1.0046605847899588,0.09597752287273702,-1.0569158005409005,0.8817395342366507,0.38380788897757157,-0.3136510572782991,0.19471182233219145,0.15923215183981365,0.045178964907792885,0.11515758927509585,-0.15765531088358248
-0.427709495258743,-0.7601386097140366,1.17306250325478,0.6012578013352412,0.6285015953994213,-0.19946264586639262,-0.028130210740481325,-0.0652876046103419,0.19651383818419083,-0.9714983172599965,-0.06252024999822796,0.20442187816233348,-0.4662428585716715,0.8480943125861883,-1.1271029929567395,0.4762248076985765,-0.34143021873721857,0.15454077685696765,0.14946622635812365
-0.6302600888640008,1.1844442355478484,-2.8685309939300243,1.4593567975315056,-0.2207748772515002,1.780842900605244,-0.7244090630727438,-0.46499073893967496,0.5291643800920539,-0.7085073620674283,0.11394109300244457,-1.4213061348565106,-0.5558288178963176,0.6735372293957275,0.3305445685333628,-0.579695007209918,0.4812971731383716,0.04779032582472106,-0.11554977443146652
-0.9472334927149045,1.0206004021165571,0.3571285243873454,-1.7255231750451077,0.5434653599267514,-0.5244539214665115,0.415197717292825,-0.33644981178946726,-1.3145399939971445,0.3804349936055965,0.1047619889206435,-0.5230753853695674,0.41699303192512693,1.1415163410596656,0.7308867960921532,-0.3705214143943462,0.34167699708148913,-0.11883581227284346,-0.0488769897143341
-0.7866972824685621,0.3660947196123651,0.4679350646528065,-1.6662688488757824,0.25881283628206436,-1.2582937801850436,-0.9890671048576786,0.4145860237515606,-0.6377199095762761,0.8214388528389167,-0.27624175584878935,-1.0242497239340034,-0.09411407230574122,-0.042337858577916075,-0.03812371979830954,0.24011748460855983,-0.06433718535891512,0.18636979747545537,0.014239296786469418
1.3723578905961937,-1.161572442080955,0.1991748119812961,-0.03355488483067421,1.1298012464259275,-0.2359533459525135,-0.29850055049380003,0.15604070536418368,1.1069405825071252,-0.3249088562764715,-0.7127939216805027,-0.014487194233326969,0.15534072977374838,0.9870215652288225,-0.10400147662417251,-0.4714527654530799,-0.2273063526486111,-0.13372938178906804,0.07809036594813759
0.20786187951627927,-1.3294934171612427,0.9200552077926591,0.6018908278351046,0.8019464291164283,0.1287609593832715,0.962950282578771,0.18608454099015626,-0.7634135173961549,-0.12538779064298183,0.7326261021782773,2.0852578956078585,0.3659814577078521,-0.3153302811851001,-0.7315293115331168,0.3282242276971246,0.25410156260746286,-0.01588958581903325,-0.12811879632711534
0.6435114972820135,-1.3923584849264856,0.623101376084994,0.8003273308237013,-0.35694093277001254,-1.332385568975146,0.6688411481653926,0.5585324640814417,-0.7051954075000244,0.280701559309366,0.10627800799610121,1.4516487863065617,0.21208972133734397,0.9807231423534806,-0.26010885047970034,0.0859040154893278,-0.08497116576023209,-0.05162766561511702,0.010747081910987163
-0.7648118205661559,0.4018439523865247,0.3985601083653702,-0.935865730415934,-0.08681182589636073,-0.11318033048770067,0.14380794909281847,-0.7417795447899812,-1.0862813546538612,0.6500276029564281,0.25288489554878074,-0.7047121451120005,0.9925333301465286,-2.3604326150702093,0.11486744346784046,-0.13547451906786054,-0.04355819705051695,0.21525099411378057,0.06624738668538327
-0.6784314537268491,-0.6513988816230263,0.3567653285859435,-0.200915691084594,0.7257603133357847,0.8695250024733817,-0.35040490236620553,-0.7775589260377261,1.5436311796276663,-1.5487576712936373,-0.7111001266449422,-0.625942779119158,-0.725347861717944,-0.31111169661903887,-0.9162818945595939,0.47065572617487467,-0.4088034062167876,-0.06762008632864062,0.3528533715985189
